3.729999999999999716e+01 6.650000000000000000e+01 6.590000000000000568e+01 6.090000000000000568e+01 5.719999999999999574e+01 2.289999999999999858e+01 8.020000000000000284e+01 7.950000000000001421e+01 3.299999999999999289e+01 3.670000000000000284e+01 7.380000000000001137e+01 1.107999999999999972e+02 6.359999999999999432e+01 2.789999999999999858e+01
1.765000000000000284e+02 1.786999999999999886e+02 2.398999999999999773e+02 1.961999999999999886e+02 1.802000000000000171e+02 1.193000000000000256e+02 2.093999999999999773e+02 1.853000000000000114e+02 1.875999999999999943e+02 2.255000000000000284e+02 1.721000000000000227e+02 1.765000000000000000e+02 5.610000000000000142e+01 1.014000000000000057e+02
5.550000000000000711e+01 6.940000000000000568e+01 1.674000000000000057e+02 1.141999999999999886e+02 1.030999999999999943e+02 1.077000000000000028e+02 9.720000000000000284e+01 9.170000000000000284e+01 5.169999999999998863e+01 6.729999999999999716e+01 7.260000000000000853e+01 1.049000000000000057e+02 2.039999999999999858e+01 8.159999999999999432e+01
1.410000000000000000e+02 2.123000000000000114e+02 2.173999999999999773e+02 3.000999999999999659e+02 9.020000000000000284e+01 1.915000000000000284e+02 2.254999999999999147e+02 3.088000000000000114e+02 1.463999999999999773e+02 1.385000000000000000e+02 2.869000000000000341e+02 2.333000000000000114e+02 0.000000000000000000e+00 1.395000000000000000e+02
1.584000000000000057e+02 2.998000000000000114e+02 1.995000000000000284e+02 2.965000000000000000e+02 6.850000000000001421e+01 2.758000000000000114e+02 2.082999999999999829e+02 3.035999999999999659e+02 2.270000000000000000e+02 1.298000000000000114e+02 2.848999999999999773e+02 2.227000000000000171e+02 0.000000000000000000e+00 7.579999999999999716e+01
6.779999999999999716e+01 6.129999999999999716e+01 5.199999999999999289e+01 3.989999999999999858e+01 1.060000000000000142e+01 1.065000000000000000e+02 1.020000000000000107e+01 3.469999999999999574e+01 7.120000000000000284e+01 3.989999999999999858e+01 1.700000000000000000e+01 3.160000000000000142e+01 0.000000000000000000e+00 7.900000000000000355e+00
1.722000000000000171e+02 2.846000000000000227e+02 2.020999999999999943e+02 3.036000000000000796e+02 1.542999999999999829e+02 1.077000000000000171e+02 2.971000000000000227e+02 4.013999999999999773e+02 3.553999999999999773e+02 2.896999999999999886e+02 3.626000000000000796e+02 2.381999999999999886e+02 0.000000000000000000e+00 1.802000000000000171e+02
4.950000000000000000e+01 5.319999999999999574e+01 1.740000000000000213e+01 2.190000000000000213e+01 4.270000000000000284e+01 2.559999999999999787e+01 4.039999999999999858e+01 6.509999999999999432e+01 4.239999999999999858e+01 5.840000000000000568e+01 6.629999999999999716e+01 3.980000000000000426e+01 0.000000000000000000e+00 7.809999999999999432e+01
1.492999999999999829e+02 1.600999999999999659e+02 2.266000000000000512e+02 2.900999999999999659e+02 1.070000000000000000e+02 1.555999999999999943e+02 2.517999999999999829e+02 2.681999999999999886e+02 1.404999999999999716e+02 1.206999999999999744e+02 2.097000000000000171e+02 2.496999999999999886e+02 0.000000000000000000e+00 1.520999999999999659e+02
7.850000000000001421e+01 1.804000000000000341e+02 2.247999999999999545e+02 2.001999999999999886e+02 6.830000000000001137e+01 1.802999999999999829e+02 2.110999999999999943e+02 2.309000000000000057e+02 1.986999999999999886e+02 1.276999999999999886e+02 1.860999999999999943e+02 2.833999999999999773e+02 5.650000000000000000e+01 1.070000000000000000e+02
